RHS index deps are: {Variable('i'), Variable('map')}
Done collecting tunits
Done collecting subkernels
frozen_normal_2_b_BTAG_PARTITIONPartIDvolume_tagfluidrank 0.025799036026000977 0.40256571769714355
frozen_f2allf_ind 0.0009415149688720703 0.012240886688232422
frozen_area_el_v_fluid 0.03426384925842285 0.2801332473754883
unfiltered_rhs 0.009208440780639648 5.957207918167114
unfiltered_rhs 0.020334959030151367 10.003663778305054
frozen_area_el_b_isothermal_wall 0.027500391006469727 0.22402191162109375
frozen_f2allf_ind 0.0009400844573974609 0.01119542121887207
frozen_normal_4_b_face_restr_interior 0.019846200942993164 0.16855263710021973
frozen_f2allf_ind 0.0009348392486572266 0.011049747467041016
frozen_normal_2_b_face_restr_interior 0.0204010009765625 0.1699824333190918
frozen_area_el_b_face_restr_interior 0.026515960693359375 0.21918797492980957
frozen_f2allf_ind 0.0009336471557617188 0.011269569396972656
frozen_f2allf_ind 0.00095367431640625 0.01125645637512207
_grad_cv_operator 0.0017952919006347656 3.0293238162994385
frozen_f2allf_ind 0.00096893310546875 0.01058506965637207
frozen_result 0.0023353099822998047 0.017200708389282227
frozen_f2allf_ind 0.0010709762573242188 0.010300874710083008
frozen_f2allf_ind 0.0008831024169921875 0.010763168334960938
unfiltered_rhs 0.0015757083892822266 1.136281967163086
unfiltered_rhs 0.026624202728271484 15.101449012756348
frozen_f2allf_ind 0.0010459423065185547 0.011600732803344727
frozen_f2allf_ind 0.0009081363677978516 0.010942220687866211
frozen_nodes0_3d 0.002782583236694336 0.030265331268310547
compute_smoothness_mu 0.01682114601135254 0.12973260879516602
frozen_normal_4_b_isothermal_wall 0.020513534545898438 0.17095088958740234
compute_smoothed_char_length 0.0007166862487792969 1.063208818435669
frozen_normal_4_b_isothermal_wall 0.019711017608642578 1.1166269779205322
frozen_f2allf_ind 0.0010285377502441406 0.012211084365844727
frozen_normal_4_b_face_restr_interior 0.019262313842773438 0.16921639442443848
compute_smoothed_char_length 0.0003249645233154297 0.9119024276733398
frozen_result 0.0022513866424560547 0.017521381378173828
compute_smoothed_char_length 0.00032830238342285156 0.44974207878112793
frozen_normal_2_b_BTAG_PARTITIONPartIDvolume_tagfluidrank 0.019663572311401367 0.16784000396728516
frozen_normal_1_b_BTAG_PARTITIONPartIDvolume_tagfluidrank 0.0208585262298584 0.16943597793579102
frozen_normal_4_b_isothermal_wall 0.019649505615234375 0.1684267520904541
frozen_area_el_b_face_restr_all 0.02764725685119629 0.21781420707702637
frozen_area_el_b_wall_farfield 0.026102542877197266 0.21634173393249512
frozen_f2allf_ind 0.0009248256683349609 0.010988712310791016
frozen_area_el_v_wall 0.03241705894470215 0.2796463966369629
frozen_f2allf_ind 0.0008902549743652344 0.011052846908569336
grad_t_operator_fluid 0.00057220458984375 1.0470623970031738
frozen_nodes0_3d 0.002541065216064453 0.03058934211730957
frozen_f2allf_ind 0.0009050369262695312 0.01122426986694336
frozen_f2allf_ind 0.0009083747863769531 0.011016130447387695
frozen_f2allf_ind 0.0011153221130371094 0.010823726654052734
frozen_nodes0_3d 0.002378702163696289 0.02964639663696289
compute_smoothed_char_length 0.00011897087097167969 0.10618305206298828
unfiltered_rhs 0.019251346588134766 11.335506677627563
frozen_area_el_b_BTAG_PARTITIONPartIDvolume_tagfluidrank 0.02736973762512207 0.21384572982788086
frozen_normal_4_b_flow 0.021467924118041992 0.1603403091430664
frozen_normal_1_b_isothermal_wall 0.0202486515045166 0.17134451866149902
frozen_nodes0_3d 0.0024704933166503906 0.030133724212646484
frozen_nodes0_3d 0.002435922622680664 0.030979394912719727
unfiltered_rhs 0.01956462860107422 10.417019844055176
frozen_normal_1_b_isothermal_wall 0.020368099212646484 0.17319035530090332
frozen_f2allf_ind 0.0009095668792724609 0.01205754280090332
frozen_area_el_b_flow 0.026842117309570312 0.21133852005004883
frozen_normal_1_b_face_restr_interior 0.019932270050048828 0.17295408248901367
frozen_f2allf_ind 0.0009372234344482422 0.011071920394897461
frozen_f2allf_ind 0.0008444786071777344 0.010927200317382812
frozen_normal_4_b_face_restr_interior 0.02063131332397461 0.17170500755310059
frozen_f2allf_ind 0.0008702278137207031 0.01125645637512207
frozen_result 0.0027129650115966797 0.02439284324645996
frozen_result 0.2526862621307373 5.504037141799927
frozen_f2allf_ind 0.0012080669403076172 0.011832952499389648
frozen_normal_4_b_isothermal_wall 0.019677400588989258 0.17510032653808594
frozen_f2allf_ind 0.0009284019470214844 0.011223554611206055
frozen_normal_1_b_face_restr_interior 0.019817590713500977 0.170823335647583
frozen_result 0.34076571464538574 5.710562229156494
frozen_result 0.002931356430053711 0.020756006240844727
frozen_area_el_b_wall_farfield 0.02729344367980957 0.2236783504486084
frozen_f2allf_ind 0.0008847713470458984 0.012542486190795898
frozen_char_lscales 0.002335071563720703 0.016194820404052734
frozen_area_el_b_flow 0.026184558868408203 0.20609331130981445
_create_fluid_state 0.0008318424224853516 0.7714335918426514
unfiltered_rhs 0.0015606880187988281 1.1261677742004395
_get_wv 0.0030193328857421875 0.024018049240112305
_grad_cv_operator 0.0001380443572998047 0.09856867790222168
compute_smoothed_char_length 0.0002968311309814453 0.41884446144104004
frozen_f2allf_ind 0.0008819103240966797 0.01100921630859375
frozen_nodes0_3d 0.0023953914642333984 0.029048919677734375
frozen_nodes0_3d 0.0025637149810791016 0.02996969223022461
frozen_nodes0_3d 0.0023789405822753906 0.02959275245666504
frozen_f2allf_ind 0.0008466243743896484 0.010771989822387695
_lsrk_update 0.0002181529998779297 0.13251638412475586
